"epoch","MoE_0129_92hk0cay - awl_param_class","MoE_0129_92hk0cay - awl_param_class__MIN","MoE_0129_92hk0cay - awl_param_class__MAX","MoE_0129_92hk0cay - _step","MoE_0129_92hk0cay - _step__MIN","MoE_0129_92hk0cay - _step__MAX","MoE_0129_92hk0cay - awl_param_reg","MoE_0129_92hk0cay - awl_param_reg__MIN","MoE_0129_92hk0cay - awl_param_reg__MAX"
"138","0.29691842198371887","0.29691842198371887","0.29691842198371887","138","138","138","0.23568472266197205","0.23568472266197205","0.23568472266197205"
"139","0.2951461374759674","0.2951461374759674","0.2951461374759674","139","139","139","0.23516441881656647","0.23516441881656647","0.23516441881656647"
"140","0.29350656270980835","0.29350656270980835","0.29350656270980835","140","140","140","0.23518747091293335","0.23518747091293335","0.23518747091293335"
"141","0.29183951020240784","0.29183951020240784","0.29183951020240784","141","141","141","0.23469674587249756","0.23469674587249756","0.23469674587249756"
"142","0.28987425565719604","0.28987425565719604","0.28987425565719604","142","142","142","0.2338176965713501","0.2338176965713501","0.2338176965713501"
"143","0.2886287271976471","0.2886287271976471","0.2886287271976471","143","143","143","0.23389224708080292","0.23389224708080292","0.23389224708080292"
"144","0.28813865780830383","0.28813865780830383","0.28813865780830383","144","144","144","0.23524723947048187","0.23524723947048187","0.23524723947048187"
"145","0.2867431342601776","0.2867431342601776","0.2867431342601776","145","145","145","0.23498474061489105","0.23498474061489105","0.23498474061489105"
"146","0.2851918637752533","0.2851918637752533","0.2851918637752533","146","146","146","0.23417668044567108","0.23417668044567108","0.23417668044567108"
"147","0.2838004231452942","0.2838004231452942","0.2838004231452942","147","147","147","0.23333974182605743","0.23333974182605743","0.23333974182605743"
"148","0.28188568353652954","0.28188568353652954","0.28188568353652954","148","148","148","0.2324674278497696","0.2324674278497696","0.2324674278497696"
"149","0.2804064154624939","0.2804064154624939","0.2804064154624939","149","149","149","0.23272284865379333","0.23272284865379333","0.23272284865379333"
"150","0.27945077419281006","0.27945077419281006","0.27945077419281006","150","150","150","0.2320476919412613","0.2320476919412613","0.2320476919412613"
"151","0.27835074067115784","0.27835074067115784","0.27835074067115784","151","151","151","0.23122921586036682","0.23122921586036682","0.23122921586036682"
"152","0.2772333323955536","0.2772333323955536","0.2772333323955536","152","152","152","0.23041871190071106","0.23041871190071106","0.23041871190071106"
"153","0.27612948417663574","0.27612948417663574","0.27612948417663574","153","153","153","0.22970081865787506","0.22970081865787506","0.22970081865787506"
"154","0.27510783076286316","0.27510783076286316","0.27510783076286316","154","154","154","0.22914686799049377","0.22914686799049377","0.22914686799049377"
"155","0.27407699823379517","0.27407699823379517","0.27407699823379517","155","155","155","0.2285906970500946","0.2285906970500946","0.2285906970500946"
"156","0.2730645537376404","0.2730645537376404","0.2730645537376404","156","156","156","0.228040874004364","0.228040874004364","0.228040874004364"
"157","0.27193552255630493","0.27193552255630493","0.27193552255630493","157","157","157","0.22766433656215668","0.22766433656215668","0.22766433656215668"
"158","0.27095827460289","0.27095827460289","0.27095827460289","158","158","158","0.227180615067482","0.227180615067482","0.227180615067482"
